gpr_mean,true_y,gpr_lwr,gpr_upr,day,cf_mean
1.0612410658744447e-06,2.6010711210876642e-06,3.553147824073103e-07,1.767167349341579e-06,0,1.0612410658744447e-06
1.0676312587161205e-06,0.0,3.7345220962712823e-07,1.7618103078051129e-06,1,1.0676312587161205e-06
1.0740035065135563e-06,2.9390154298310068e-06,3.913632002408429e-07,1.7566438127862695e-06,2,1.0740035065135563e-06
1.0803560731666068e-06,0.0,4.0904088861454846e-07,1.7516712577186652e-06,3,1.0803560731666068e-06
1.0866872039842734e-06,3.227545161425671e-06,4.264785123093774e-07,1.7468958956591693e-06,4,1.0866872039842734e-06
1.092995126420549e-06,2.9624187556656258e-06,4.43669427266723e-07,1.7423208255743748e-06,5,1.092995126420549e-06
1.0992780508371703e-06,0.0,4.606071239502993e-07,1.737948977724041e-06,6,1.0992780508371703e-06
1.1055341712928197e-06,0.0,4.772852444369527e-07,1.7337830981486868e-06,7,1.1055341712928197e-06
1.1117616663588215e-06,0.0,4.936976004333062e-07,1.7298257322843366e-06,8,1.1117616663588215e-06
1.1179586999605173e-06,0.0,5.098381921762026e-07,1.7260792077448322e-06,9,1.1179586999605173e-06
1.124123422244471e-06,0.0,5.25701228155905e-07,1.7225456163330372e-06,10,1.124123422244471e-06
1.1302539704707647e-06,0.0,5.412811455774744e-07,1.7192267953640555e-06,11,1.1302539704707647e-06
1.1363484699300299e-06,2.5468557791977914e-06,5.565726314517209e-07,1.716124308408339e-06,12,1.1363484699300299e-06
1.1424050348847984e-06,0.0,5.715706441811914e-07,1.7132394255884056e-06,13,1.1424050348847984e-06
1.1484217695346006e-06,2.59461254650843e-06,5.862704354789976e-07,1.7105731035902036e-06,14,1.1484217695346006e-06
1.1543967690044289e-06,0.0,6.006675724308915e-07,1.708125965577966e-06,15,1.1543967690044289e-06
1.1603281203555445e-06,0.0,6.147579594827134e-07,1.7058982812283756e-06,16,1.1603281203555445e-06
1.1662139036187263e-06,0.0,6.28537860109751e-07,1.7038899471277014e-06,17,1.1662139036187263e-06
1.1720521928486666e-06,0.0,6.420039178987532e-07,1.70210046779858e-06,18,1.1720521928486666e-06
1.1778410571991103e-06,0.0,6.551531767527915e-07,1.700528937645429e-06,19,1.1778410571991103e-06
1.1835785620181281e-06,0.0,6.67983099911589e-07,1.6991740241246671e-06,20,1.1835785620181281e-06
1.1892627699625218e-06,5.29778870299537e-06,6.804915874679931e-07,1.6980339524570505e-06,21,1.1892627699625218e-06
1.1948917421307343e-06,0.0,6.926769920561313e-07,1.6971064922053374e-06,22,1.1948917421307343e-06
1.2004635392135507e-06,5.18759645687162e-06,7.045381323885842e-07,1.6963889460385172e-06,23,1.2004635392135507e-06
1.205976222661422e-06,3.0364311003419023e-06,7.16074304330252e-07,1.6958781409925922e-06,24,1.205976222661422e-06
1.2114278558679147e-06,3.032490098919827e-06,7.272852892156838e-07,1.6955704225201458e-06,25,1.2114278558679147e-06
1.216816505368117e-06,0.0,7.381713591446278e-07,1.695461651591606e-06,26,1.216816505368117e-06
1.2221402420512364e-06,2.553300140431508e-06,7.487332790274504e-07,1.6955472050750225e-06,27,1.2221402420512364e-06
1.2273971423862052e-06,0.0,7.589723051972677e-07,1.6958219795751425e-06,28,1.2273971423862052e-06
1.232585289659578e-06,0.0,7.688901804588328e-07,1.696280398860323e-06,29,1.232585289659578e-06
1.237702775224624e-06,0.0,7.784891255028612e-07,1.696916424946387e-06,30,1.237702775224624e-06
1.242747699760291e-06,0.0,7.877718266778826e-07,1.6977235728426991e-06,31,1.242747699760291e-06
1.2477181745394653e-06,0.0,7.967414201784791e-07,1.6986949289004519e-06,32,1.2477181745394653e-06
1.2526123227049873e-06,0.0,8.054014727748724e-07,1.6998231726351021e-06,33,1.2526123227049873e-06
1.2574282805526514e-06,0.0,8.137559592744348e-07,1.7011006018308678e-06,34,1.2574282805526514e-06
1.2621641988197753e-06,0.0,8.218092369661496e-07,1.7025191606734012e-06,35,1.2621641988197753e-06
1.266818243978435e-06,2.4103645676408555e-06,8.295660173553252e-07,1.7040704706015447e-06,36,1.266818243978435e-06
1.271388599531893e-06,5.357032846646899e-06,8.370313355422354e-07,1.7057458635215506e-06,37,1.271388599531893e-06
1.2758734673136355e-06,2.9577223171979724e-06,8.44210517638176e-07,1.7075364169890947e-06,38,1.2758734673136355e-06
1.2802710687866811e-06,0.0,8.511091466384267e-07,1.7094329909349358e-06,39,1.2802710687866811e-06
1.2845796463435085e-06,2.601301170845657e-06,8.577330271917201e-07,1.7114262654952967e-06,40,1.2845796463435085e-06
1.2887974646037845e-06,2.511988464948969e-06,8.640881497087314e-07,1.7135067794988377e-06,41,1.2887974646037845e-06
1.2929228117098329e-06,4.846593208468938e-06,8.701806542503689e-07,1.7156649691692967e-06,42,1.2929228117098329e-06
1.296954000617919e-06,0.0,8.760167946201634e-07,1.7178912066156745e-06,43,1.296954000617919e-06
1.3008893703845632e-06,4.893768519855243e-06,8.816029030626578e-07,1.7201758377064687e-06,44,1.3008893703845632e-06
1.3047272874459696e-06,0.0,8.869453559371299e-07,1.7225092189548094e-06,45,1.3047272874459696e-06
1.3084661468901322e-06,0.0,8.920505407004892e-07,1.7248817530797752e-06,46,1.3084661468901322e-06
1.3121043737195964e-06,0.0,8.969248244890243e-07,1.7272839229501682e-06,47,1.3121043737195964e-06
1.3156404241040267e-06,0.0,9.015745245456874e-07,1.7297063236623659e-06,48,1.3156404241040267e-06
1.3190727866212868e-06,0.0,9.060058806921989e-07,1.7321396925503748e-06,49,1.3190727866212868e-06
1.3223999834853896e-06,0.0,9.10225029999251e-07,1.734574936971528e-06,50,1.3223999834853896e-06
1.3256205717605903e-06,4.812122699504592e-06,9.142379837638093e-07,1.737003159757371e-06,51,1.3256205717605903e-06
1.328733144559945e-06,0.0,9.180506068591833e-07,1.7394156822607063e-06,52,1.328733144559945e-06
1.3317363322271918e-06,0.0,9.216685994847425e-07,1.741804064969641e-06,53,1.3317363322271918e-06
