variable,coefficient
Intercept,0.47190884315013504
C(year)[T.1984],0.37167808218966525
C(year)[T.1985],0.18709714280759265
C(year)[T.1986],-0.07821934948129841
C(year)[T.1987],0.3467329391837338
C(year)[T.1988],0.13808100950592736
C(year)[T.1989],0.4684748073479048
C(year)[T.1990],1.0691808746678721
C(year)[T.1991],0.8144804009625725
C(year)[T.1992],0.7283789361659007
C(year)[T.1993],1.0256947057708554
C(year)[T.1994],0.6843256820392246
C(year)[T.1995],0.6982419569408149
C(year)[T.1996],0.5401719336494966
C(year)[T.1997],0.6372807857443963
C(year)[T.1998],0.6917053793314405
C(year)[T.1999],0.7888505600250354
C(year)[T.2000],1.0304724468358528
C(country)[T.ALGERIA],0.7528810493088145
C(country)[T.ANGOLA],1.3819577566048498
C(country)[T.ARGENTIN],0.749314724799039
C(country)[T.ARMENIA],-1.0577030949166013
C(country)[T.AUSTRAL],-0.18014743828806595
C(country)[T.AUSTRIA],0.31467608397512725
C(country)[T.BAHRAIN],2.5064956798492144
C(country)[T.BANGLAD],-0.2649306934514022
C(country)[T.BELARUS],-0.4230522619331587
C(country)[T.BELGIUM],-0.5729270567085019
C(country)[T.BENIN],-1.6155499079390188
C(country)[T.BHUTAN],0.053894503103851465
C(country)[T.BOLIVIA],-0.0728193382893272
C(country)[T.BOR-FAS.UV],-1.142207055888382
C(country)[T.BOTSWANA],0.29208118134471167
C(country)[T.BRAZIL],1.3504566751353766
C(country)[T.BULGARIA],1.2235016481208856
C(country)[T.BURUNDI],-0.022423810109599485
C(country)[T.C-AFR-R],-0.5754984558477956
C(country)[T.CAMEROON],1.1398085426222306
C(country)[T.CANADA],-0.6078793569019976
C(country)[T.CHAD],0.9858529586936002
C(country)[T.CHILE],2.2564843887305486
C(country)[T.CHINA],-0.17775965730637933
C(country)[T.COLUMBIA],4.41591353339116
C(country)[T.CONGO],1.1278545488355194
C(country)[T.COSTA-RI],-0.4904742899656098
C(country)[T.CROATIA],-0.16821477827201042
C(country)[T.CYPRUS],1.0068220860637793
C(country)[T.CZECH REP],-0.8815980649879418
C(country)[T.DENMARK],-0.032229910175915255
C(country)[T.DOM-REP],0.8153033387526354
C(country)[T.ECUADOR],1.3276493491612373
C(country)[T.EGYPT.UAR],-0.3720670025082179
C(country)[T.EL-SALVA],1.7742805275399776
C(country)[T.ERITREA],-1.4773219659607146
C(country)[T.ESTONIA],-0.12560850317997843
C(country)[T.ETHIOPIA],0.36976682006103023
C(country)[T.FIJI],-0.9231686956951479
C(country)[T.FINLAND],-0.1892587459756044
C(country)[T.FRANCE],-0.43286289622194196
C(country)[T.FYRM],-0.2538148093459333
C(country)[T.GABON],-0.26231993589020697
C(country)[T.GAMBIA],-1.353317710831538
C(country)[T.GEORGIA],1.5065146533634228
C(country)[T.GERMANY],-1.4114820147148606
C(country)[T.GHANA],-1.8832985680801895
C(country)[T.GREECE],1.2153616147000081
C(country)[T.GU-BISSAU],-1.1898463783714615
C(country)[T.GUATEMA],2.7165231245076997
C(country)[T.GUINEA],0.14603140554879301
C(country)[T.GUYANA],-0.6112223983923359
C(country)[T.HAITI],1.616029798740265
C(country)[T.HONDURAS],0.9614358606207867
C(country)[T.HUNGARY],-1.2052971050274235
C(country)[T.INDIA],1.3692185465722981
C(country)[T.INDONES],1.2836959757561335
C(country)[T.IRAN],2.0054030865976924
C(country)[T.IRELAND],0.08294376032205314
C(country)[T.ISRAEL],3.442662350778838
C(country)[T.ITALY],-0.3543440149279774
C(country)[T.IVORY-CO],-0.6530936190125739
C(country)[T.JAMAICA],0.6031547076452838
C(country)[T.JAPAN],-0.9013244783665686
C(country)[T.JORDAN],0.16617290886162556
C(country)[T.KAMPUCH],0.23158502985678264
C(country)[T.KAZAK],-1.278883980299789
C(country)[T.KENYA],-0.6574927381423714
C(country)[T.KOREA-S],1.3948046594939485
C(country)[T.KUWAIT],2.1816361130997115
C(country)[T.KYRG],-2.703943911610692
C(country)[T.LAO],-1.3047047538909498
C(country)[T.LATVIA],0.4473995175478735
C(country)[T.LESOTHO],0.4387144378040071
C(country)[T.LIBERIA],1.637322040804309
C(country)[T.LITHUANIA],-0.7189611106474902
C(country)[T.MADAGASC],-0.7126280235323492
C(country)[T.MALAWI],-1.1478227311108324
C(country)[T.MALAYSIA],-0.29513080133859937
C(country)[T.MALI],-1.5402068187900007
C(country)[T.MAURITNI],-0.1964606496582248
C(country)[T.MAURTIUS],-0.02714582153306974
C(country)[T.MEXICO],2.845536115348439
C(country)[T.MONGOLIA],-1.4650949662612094
C(country)[T.MOROCCO],0.1745901926524317
C(country)[T.MOZAMBIQ],-0.07206407982174301
C(country)[T.NAMIBIA],0.6671679830331823
C(country)[T.NEPAL],-0.9466083763102537
C(country)[T.NICARAG],1.3159715422897111
C(country)[T.NIGER],-2.1588217311189037
C(country)[T.NIGERIA],-1.0852338054130402
C(country)[T.NORWAY],0.231773284391611
C(country)[T.OMAN],-0.261157023355083
C(country)[T.PAKISTAN],0.7524469832258054
C(country)[T.PANAMA],1.3364883798706728
C(country)[T.PAPUA-NG],0.9093893891681373
