tfe_mean,tfe_lwr,tfe_upr
-0.206,-0.835,0.423
0.131,-0.496,0.758
0.42,-0.207,1.047
-0.348,-0.972,0.277
0.556,-0.068,1.18
-0.16,-0.784,0.464
0.65,0.025,1.275
0.761,0.133,1.388
1.011,0.384,1.638
2.639,1.958,3.32
1.081,0.446,1.716
1.058,0.438,1.679
1.069,0.452,1.686
0.899,0.283,1.516
0.982,0.366,1.597
1.022,0.407,1.636
1.103,0.489,1.716
1.333,0.72,1.946
0.39,-0.25,1.031
0.735,0.095,1.376
0.04,-0.58,0.66
-0.229,-0.847,0.388
0.025,-0.592,0.642
-0.201,-0.816,0.413
0.132,-0.481,0.745
0.747,0.135,1.359
0.52,-0.091,1.131
0.441,-0.17,1.052
0.735,0.124,1.345
0.374,-0.234,0.982
0.38,-0.227,0.987
0.222,-0.385,0.83
0.304,-0.305,0.913
0.341,-0.268,0.95
0.413,-0.197,1.023
0.632,0.02,1.243
4.161,3.518,4.803
4.55,3.909,5.19
4.874,4.226,5.521
4.139,3.502,4.776
5.079,4.442,5.717
4.396,3.768,5.024
4.741,4.114,5.368
4.278,3.63,4.927
5.46,4.825,6.094
5.974,5.34,6.607
5.818,5.189,6.446
4.959,4.327,5.59
4.531,3.891,5.171
4.862,4.226,5.498
4.473,3.831,5.116
5.026,4.388,5.664
6.212,5.577,6.846
6.469,5.831,7.107
2.241,1.622,2.861
2.636,2.018,3.255
2.469,1.851,3.086
2.202,1.586,2.819
2.587,1.974,3.2
2.384,1.772,2.995
2.702,2.09,3.313
3.358,2.746,3.969
3.114,2.502,3.726
2.997,2.387,3.607
3.293,2.683,3.903
4.518,3.871,5.166
4.03,3.386,4.674
2.761,2.153,3.369
3.316,2.703,3.929
2.852,2.242,3.463
2.918,2.304,3.532
3.622,3.003,4.241
1.265,0.639,1.892
2.151,1.519,2.783
1.52,0.896,2.143
1.255,0.634,1.876
2.128,1.508,2.749
1.909,1.29,2.527
2.204,1.586,2.822
2.282,1.668,2.897
2.029,1.416,2.642
1.94,1.328,2.552
2.233,1.621,2.845
2.382,1.774,2.991
1.899,1.284,2.514
1.748,1.131,2.364
2.35,1.739,2.961
2.42,1.807,3.033
2.52,1.904,3.135
2.765,2.146,3.383
0.345,-0.298,0.987
0.771,0.138,1.404
0.627,-0.001,1.254
0.393,-0.229,1.015
0.856,0.24,1.471
0.678,0.066,1.291
1.018,0.406,1.63
1.613,1.002,2.224
1.352,0.742,1.963
1.285,0.674,1.896
1.599,0.986,2.211
1.732,1.118,2.345
1.237,0.625,1.848
1.059,0.446,1.673
1.144,0.527,1.76
1.645,1.027,2.262
1.719,1.099,2.339
1.928,1.307,2.549
5.622,4.998,6.246
5.993,5.371,6.615
5.814,5.191,6.436
6.084,5.458,6.709
5.869,5.25,6.488
5.673,5.056,6.289
5.997,5.381,6.613
6.586,5.969,7.203
6.815,6.196,7.434
6.235,5.62,6.851
6.539,5.924,7.154
6.679,6.068,7.29
6.752,6.142,7.361
6.578,5.968,7.188
5.564,4.935,6.192
5.603,4.975,6.231
5.691,5.063,6.319
5.907,5.28,6.535
6.317,5.657,6.977
6.712,6.053,7.371
5.196,4.572,5.821
5.446,4.819,6.073
5.875,5.247,6.503
5.178,4.548,5.808
5.999,5.367,6.631
6.447,5.815,7.078
5.706,5.073,6.339
5.975,5.343,6.608
6.766,6.135,7.397
6.427,5.804,7.05
5.947,5.317,6.578
5.202,4.575,5.829
5.301,4.674,5.927
5.352,4.726,5.979
5.453,4.827,6.08
5.7,5.074,6.326
2.216,1.593,2.839
2.593,1.973,3.214
3.5,2.865,4.135
3.262,2.629,3.895
3.682,3.049,4.315
3.966,3.328,4.605
2.726,2.109,3.343
3.847,3.225,4.47
3.604,2.978,4.229
3.023,2.407,3.64
3.313,2.695,3.93
3.5,2.885,4.115
3.518,2.902,4.135
3.367,2.749,3.985
3.172,2.535,3.809
3.236,2.6,3.873
3.373,2.737,4.01
4.1,3.47,4.731
5.529,4.874,6.183
5.304,4.67,5.937
4.633,4.009,5.257
4.383,3.761,5.006
5.301,4.673,5.93
5.083,4.455,5.711
5.423,4.792,6.055
6.013,5.383,6.642
5.265,4.637,5.892
5.153,4.529,5.777
4.066,3.436,4.695
4.2,3.571,4.829
3.708,3.076,4.34
3.893,3.26,4.527
3.494,2.856,4.133
3.544,2.91,4.178
3.637,3.004,4.27
4.371,3.744,4.999
5.143,4.476,5.811
5.556,4.897,6.215
5.426,4.773,6.079
5.683,5.02,6.347
5.647,5.004,6.29
5.546,4.91,6.183
6.401,5.749,7.052
5.45,4.816,6.084
3.866,3.236,4.496
3.808,3.178,4.439
4.139,3.511,4.767
4.297,3.666,4.928
3.814,3.189,4.439
3.646,3.022,4.271
3.748,3.121,4.375
3.807,3.182,4.433
3.889,3.263,4.516
4.132,3.503,4.761
0.19,-0.431,0.811
0.543,-0.074,1.16
0.384,-0.232,1.001
0.115,-0.499,0.729
0.541,-0.074,1.156
0.341,-0.275,0.957
0.666,0.048,1.284
1.273,0.656,1.89
1.031,0.413,1.65
0.916,0.298,1.533
1.034,0.415,1.653
0.686,0.072,1.3
0.697,0.084,1.31
0.555,-0.057,1.168
0.64,0.028,1.252
0.665,0.053,1.278
0.734,0.12,1.348
0.986,0.372,1.601
2.937,2.302,3.573
3.313,2.68,3.946
3.12,2.486,3.753
2.853,2.221,3.486
3.153,2.523,3.782
3.546,2.902,4.19
2.312,1.69,2.935
2.885,2.266,3.503
2.593,1.977,3.209
2.477,1.863,3.091
2.76,2.146,3.374
2.42,1.809,3.03
2.441,1.831,3.051
2.772,2.157,3.387
2.847,2.232,3.462
2.384,1.773,2.994
2.474,1.862,3.085
2.714,2.101,3.326
6.876,6.108,7.643
6.798,6.024,7.573
6.916,6.153,7.68
7.246,6.484,8.009
7.83,7.069,8.591
7.092,6.328,7.855
6.994,6.231,7.758
7.377,6.622,8.133
7.447,6.692,8.202
7.591,6.835,8.346
7.832,7.076,8.588
4.307,3.688,4.927
4.7,4.084,5.316
4.543,3.927,5.159
4.264,3.649,4.878
4.693,4.075,5.311
4.473,3.853,5.093
5.376,4.747,6.005
5.472,4.85,6.095
5.022,4.406,5.639
4.923,4.307,5.54
5.731,5.105,6.357
5.428,4.816,6.04
5.438,4.827,6.049
5.303,4.692,5.915
5.383,4.772,5.994
4.965,4.351,5.58
5.613,5.001,6.226
5.363,4.743,5.983
1.582,0.938,2.227
1.983,1.346,2.62
1.778,1.145,2.411
1.512,0.885,2.14
1.925,1.295,2.554
1.575,0.95,2.2
1.931,1.306,2.556
2.545,1.918,3.172
2.256,1.631,2.882
1.04,0.42,1.661
